,text,old
0,['وجه رشد نظر طبق'],التوجيه والارشاد النظرية والتطبيق
1,['طور رأس مال بشر'],تطوير رأس المال البشري
2,['صمم طبق نظم قعد بين علق'],تصميم وتطبيق نظم قواعد البيانات العلائقية
3,['طور مقاييس نظر طبق'],تطوير المقاييس النظرية والتطبيق
4,['عمل كبي مفاهيم مرس'],الأعمال المكتبية المفاهيم والممارسات
5,['درة حوكم رقم'],إدارة الحوكمة الرقمية
6,['ذكء عمل حلل علم بين'],ذكاء الأعمال والتحليلات وعلم البيانات
7,['سيس الة ولو نمو تطلب عدل'],السياسات المالية بين أولويات النمو ومتطلبات العدالة
8,['قضء دري وتطبيقاته ملك عرب سعد'],القضاء الإداري وتطبيقاته في المملكة العربية السعودية
9,['عدد خير طور قيد دري نسي جهز حكم درس يدن'],إعداد واختيار وتطوير القيادات الإدارية النسائية في الأجهزة الحكومية (دراسة ميدانية)
10,['درة استراتيجية نظم علم'],الإدارة الاستراتيجية لنظم المعلومات
11,['بحث درس حلة صمم الب'],بحوث دراسة الحالة التصميم والأساليب
12,['حصء علم خطة خطو'],الإحصاء الامعلمي خطوة بخطوة
13,['سوق مال سعد نشأ أدؤ كفء'],سوق المال السعودي نشأتها وأداؤها وكفاءتها
14,['سهم مدى طول'],الأسهم في المدى الطويل
15,['اكس يبر نهج علم حلل نظر'],ماكس فيبر: المنهج العلمي والتحليلات النظرية
16,['دخل الى نظم جري سعد'],المدخل إلى النظام التجاري السعودي
17,['تصل دري استراتيجي طبق'],الاتصال الإداري: إستراتيجيات وتطبيقات
18,['شبك عرف رمج فهم شمل'],الشبكات المعرفة بالبرمجيات: المفهوم الشامل
19,['علم قيد اصل خمس سسي صبح قئد'],تعلم القيادة الأصول الخمسة الأساسية لتصبح قائدا
20,['حوكم شرك سئل اجتماعية شرك'],حوكمة الشركات والمسئولية الاجتماعية للشركات
21,['بكر قطع عام'],الابتكار في القطاع العام
22,['حسب حكم ملك عرب سعد'],المحاسبة الحكومية في المملكة العربية السعودية
23,['الي فعل ثقف قنن'],آليات تفعيل الثقافة القانونية
24,['رجع دخل قطع عام'],المراجعة الداخلية في القطاع العام
25,['حوسب سحب سسي بدئ طبق'],الحوسبة السحابية: أساسيات ومبادئ وتطبيقات
26,['قيم وقع درة ازم كرث'],تقييم واقع إدارة الأزمات والكوارث
27,['تحمس خدم'],متحمسون للخدمة
28,['عمل ؤثر نقل اثر درب وقع عمل جهز حكم ملك عرب سعد'],العوامل المؤثرة في انتقال أثر التدريب للواقع العملي في الأجهزة الحكومية بالمملكة العربية السعودية
29,['قيد غير'],قيادة التغيير
30,['دخل وحد حفز'],داخل وحدة الحفز
31,['سبل عمل دخل خصص جهز حكم'],سبل التعامل مع التداخل في اختصاصات الأجهزة الحكومية
32,['نقد مول دول'],النقد والتمويل الدولي
33,['درة عمة قدم'],الإدارة العامة القادمة
34,['درة استراتيجية نظم رعي صحة'],الإدارة الإستراتيجية في منظمات الرعاية الصحية
35,['دلل سئل نفذ حوكم قني علم'],دليل المسئول التنفيذي لحوكمة تقنية المعلومات
36,['درة عمة دول حدث قيم توج تبع'],الإدارة العامة والدولة الحديثة تقييم التوجهات والتبعات
37,['شرك شخص وحد نظم شرك سعد'],شركة الشخص الواحد في نظام الشركات السعودي
38,['امن علم إدر خطر قني علم'],أمن المعلومات وإدارة مخاطر تقنية المعلومات
39,['فضل مرس انحداراللوجستي'],أفضل الممارسات في الانحداراللوجستي
40,['خدم الب حصئ حسب قضي'],استخدام الأساليب الإحصائية في المحاسبة القضائية
41,['قعد بكر جهز حكم أثر نظم حكم قاعد وظف'],التقاعد المبكر في الأجهزة الحكومية وأثره على المنظمة الحكومية والمتقاعد والموظف   
42,['قيم جرب رأة سعد نصب قيد جهز حكم'],تقييم تجربة المرأة السعودية في المناصب القيادية في الأجهزة  الحكومية
43,['وءم وظف وظف أثر نية لتر وظف'],المواءمة بين الموظف والوظيفة وأثرها في النية لترك الوظيفة
44,['طبق عمل فعل كمل سيس عمة درة'],التطبيق العملي الفعال التكامل بين السياسة العامة والإدارة 
45,['جرء حقق حكم نظم جرء جزي سعد'],إجراءات التحقيق والمحاكمة في نظام الإجراءات الجزائية السعودي
46,['عدة فكر قدم خدم حكم'],إعادة التفكير في تقديم الخدمات الحكومية
47,['قان الي'],القانون المالي
48,['كفي هنة'],الكفايات المهنية
49,['مدى كفء فعل يزن عمة'],مدى كفاءة وفاعلية الميزانية العامة
50,['طور نظم'],تطوير المنظمات
51,['وذج بني لدر رأس مال'],نموذج بنائي لدور رأس المال
52,['رجع عقد دري ملك عرب سعد'],المرجع في العقود الإدارية في المملكة العربية السعودية
53,['قيد حول عوق طبق جهز حكم'],القيادة التحويلية ومعوقات تطبيقها في الأجهزة الحكومية
54,['قيم مدى كفي حفز ادة سلم وظف عمة زيد ناج وظف جهز حكم'],تقييم مدى كفاية الحوافز المادية في سلم الوظائف العامة لزيادة إنتاجية الموظفين في الأجهزة الحكومية   
55,['مدى طبق خطط جهز حكم ملك عرب سعد'],مدى تطبيق الخطط في الأجهزة الحكومية في المملكة العربية السعودية
56,['قيد دري نظر طبق'],القيادة الإدارية: النظرية والتطبيق
57,['ثور بين'],ثورة البيانات
59,['درب طور وظف'],تدريب وتطوير الموظفين
60,['درة ادء اسس خطر دمج استراتيجية إدر خطر'],إدارة الأداء على أساس المخاطر الدمج بين الإستراتيجية وإدارة المخاطر
61,['سئل حوكم شرك نظر فحص خير نظم تبع'],مسائل حوكمة الشركات نظرة فاحصة على الخيارات التنظمية وتبعاتها 
62,['سلم رضى وجد رعي صحة'],سلامة المرضى وجودة الرعاية الصحية
63,['سلك سوق الة'],سلوك الأسواق المالية
64,['ؤشر ادء رئس ؤسس حكم وغر ربح'],مؤشرات الأداء الرئيسية للمؤسسات الحكومية وغير الربحية
65,['اثر طبق حكم الكترونية حقق شفف الكترونية'],أثر تطبيق الحكومة الإلكترونية في تحقيق الشفافية الإلكترونية
66,['خلق درة خدم صحة'],الأخلاقيات في إدارة الخدمات الصحية
67,['حسب بيئ'],المحاسبة البيئية
68,['شرح نظم حكم ملك عرب سعد'],شرح أنظمة الحكم في المملكة العربية السعودية
69,['درة عرف كمدخل عزز بدع نظم'],إدارة المعرفة كمدخل لتعزيز الإبداع التنظيمي
70,['درة رتب اجر'],إدارة الرواتب والأجور
71,['حوكم قطع عام'],الحوكمة في القطاع العام
72,['سسي علم مرس'],أساسيات التعلم بالممارسة
73,['تخذ قرر ملك'],اتخاذ القرارت في المملكة
74,['اسـتخدام عين جال بحث'],اسـتخدام العينات في مجال البحوث
75,['حمي هلك'],حماية المستهلك
76,['علم ـلي عمة'],علم المـالية العامة
77,['الب بحث علم'],اساليب البحث العلمي
78,['تصل جهز حكم درس يدن'],الاتصالات في الاجهزة الحكومية (دراسة ميدانية)
79,['يـق درس حلل'],التسويـق (دراسة تحليلية)
80,['فسر قضي قان دني'],التفسير القضائي في القانون المدني
81,['درة شئن وظف جهز حكم'],إدارة شئون الموظفين في الاجهزة الحكومية
82,['كيف نظم ؤمر جمع فعل'],كيف تنظم مؤتمرات واجتماعات فعالة
83,['جرم'],الجريمة
84,['وذج يبا درة نظر z'], النموذج الياباني في الإدارة (نظرية z(
85,['رمج طبق بلغ كوبول'],البرمجة التطبيقية بلغة كوبول
86,['قدم حسب الي'],مقدمة في الحاسب الالي
87,['حكم اثب'], احكام الاثبات
88,['ـشكل فقة سلم درس وزن'],الـشكل في الفقة الاسلامي(دراسة موازنة)
89,['دلل عمل شرء'],دليل أعمال الشراء
90,['حيج نمي قوى عمل نظم علم درب'],احتياجات التنمية للقوى العاملة ونظام التعليم والتدريب
91,['فن درة ياب'],فن الإدارة اليابانية
92,['حلل صمم نظم علج بين'],تحليل وتصميم نظم معالجة البيانات
93,['دير ذو سلب دقق وحد'],المدير ذو اسلوب الدقيقة الواحدة
94,['صدر شرء'],مصادر الشراء
95,['عمد ندي'], الاعتمادات المستندية
96,['نظم علم دري'],نظم المعلومات الإدارية
97,['بدي حسب'],مبادي المحاسبة
98,['سرب وظف'],تسرب الموظفين
99,['قيس ادء عمل الب نظر طبق'],قياس أداء العمل (الأساليب والنظرية والتطبيقات)
100,['كتب تخصص ركز علم'],المكتبات المتخصصة ومراكز المعلومات
101,['نظم زكة ضرب دخل'],نظام الزكاة وضريبة الدخل
102,['ـسياس شري حكم'],الـسياسات الشرائية الحكومية
103,['درة رتب'],أدارة الرواتب
104,['خدم نظم علم ورد بشر'],أستخدام نظم معلومات الموارد البشرية
105,['نظر نظم'],نظرية التنظيم
106,['شرك وصي بسط'],شركة التوصية البسيطة
107,['الب رمج حدث بلغ بيس'],اساليب البرمجة الحديثة بلغة بيسك
108,['طور نظم علم حسب الي حلل صمم'],تطوير نظم معلومات الحاسب الالي ( تحليل وتصميم)
109,['شرف'], الإشراف
110,['قرر الة صرف'],التقارير المالية والمصرفية
111,['كفل بنك ملك درس قرن'],الكفالات البنكية في المملكة (دراسة مقارنة)
112,['ودع حكم'],المستودعات الحكومية
113,['درة كبي عمل سكرتارية جـزأ'],الإدارة المكتبية واعمال السكرتارية ( جـزأين )
114,['درة ادء'],ادارة الاداء
115,['نظم قضء ملك'],نظام القضاء في المملكة
116,['وصف ببليوجرافي كتب'],الوصف الببليوجرافي في الكتب
117,['ضبط ببليوجرافي حتو دور سعد'],الضبط الببليوجرافي لمحتويات الدوريات السعودية
118,['نظم بنك سعد'],النظام البنكي السعودي
119,['درة شفي'],إدارة المستشفيات
120,['طبق عمل محاسـب حكم ١'],تطبيقات عملية في المحاسـبة الحكومية (١(
121,['درة مشاريع تشد'],إدارة مشاريع التشيد
122,['درة حلة ملك بحث'],الإدارة المحلية في المملكة(بحث)
123,['تجه شرء بحث يـد'],اتجاهات الشراء ( بحث ميـداني )
124,['درة'],إدارة الوقت
125,['درة استراتيجية'],الادارة الاستراتيجية
126,['حسب الي طبق حصئ بلغ بيس'], الحاسب الالي والتطبيقات الإحصائية بلغة بيسك
127,['درة شـئ وظف بدي اسس عمة طبق'],إدارة شـئون الموظفين (المبادي والاسس العامة والتطبيقات)
128,['درة علاقــ عمة'],إدارة العلاقــات العامة
129,['رجع عرب'],المراجع العربية
130,['تجه هندس سعد عمـ'],اتجاهات المهندس السعودي نحو عماـه
131,['سلك نظم ادء'],السلوك التنظيمي والأداء
132,['تصل سلك سنى'],الاتصال والسلوك الانسانى
133,['حمايةالإجرائية لغش جري'],الحمايةالإجرائية من الغش التجاري
134,['قـن دري سعد'],القـانون الإداري السعودي
135,['جرء سكرتارية'],إجراءات السكرتارية
136,['حلق جود'],حلقات الجودة
137,['درة مشاريع شغل الي كتب'],إدارة مشاريع التشغيل الالي في المكتبات
138,['درة عمل علم علم جرة'],ادارة عملية تعلم العلوم التجارية
139,['مسح بيئ خرج جهز حكم ركز بحث'],مسح البيئة الخارجية للاجهزة الحكومية المركزية(بحث)
140,['قيد دير دقق وحد'],القيادة ومدير الدقيقة الواحدة
141,['ـرويض نمر ورق'],تـرويض النمر الورقي
142,['خطط قوي عمل بحث'],تخطيط القوي العاملة(بحث)
143,['معايير رجع دول'],معايير المراجعة الدولية
144,['قرر دري'],القرارات الإدارية
145,['نظم قنو ثمر جنب'],النظام القانوني للاستثمار الاجنبي
146,['قوم ادء وسل تحس نوع'],تقويم الأداء وسيلة تحسين النوعية
147,['جنب قنن درة فاض برم عقد'],الجوانب القانونية في إدارة المفاوضات وابرام العقود
148,['قيم نظم'],القيم التنظيمية
149,['ورق جرة نظم سعد'],الاوراق التجارية في النظام السعودي
150,['أمن اجتماعية نظم ملك عرب سعد'],التأمينات الاجتماعية ونظامها في المملكة العربية السعودية
151,['عمل ؤثر خير فتة سعد لمه مرض بحث'],العوامل المؤثرة في اختيار الفتاة السعودية لمهنة التمريض(بحث)
152,['عوق سكرتارية فعل'],معوقات السكرتارية الفعالة
153,['وقع تصل كتب جهز حكم بحث'],واقع الاتصالات الكتابية فى الاجهزة الحكومية(بحث)
154,['درة عمة ملك عرب سعد'],الادارة العامة في المملكة العربية السعودية
155,['سلك انس نظم'],السلوك الإنساني والتنظيمي
156,['درة عمـ ملك بلغ انجليزية'],الإدارة العامـة في المملكة (بلغة الانجليزية)
157,['درة عمة ملك بلغ رنس'],الإدارة العامة في المملكة ( بلغة الفرنسية)
158,['جرم رشة نظم سعد'],جريمة الرشوة في النظام السعودي
159,['دلل شمل درة خزن'],الدليل الشامل في ادارة المخازن
160,['خطط سوق'],الخطط التسويقية
161,['دعء عام حكم جني'],الادعاء العام والمحاكمة الجنائية
162,['وظف عمل وطن قطع خاص'],توظيف العمالة المواطنة في القطاع الخاص
163,['قوم اسس الب رقي'],تقويم اسس واساليب الترقية
164,['درة جود كلة حكم'],ادارة الجودة الكلية في الحكومة
165,['عين وتطبيقات بحث اجتماعية'],العينات وتطبيقاتها في البحوث الاجتماعية
166,['سسي بحث كيف'],أساسيات البحث الكيفي
167,['ضغط عمل'],ضغوط العمل
168,['نظم طعن ميز ملك'],نظام الطعن بالتمييز في المملكة
169,['بدئ قنن صيغ عقد جار دول'],المبادئ القانونية في صياغة عقود التجارة الدولية
170,['تطر درة عمة ملك ائة'],تطور الإدارة العامة في المملكة خلال مائة عام
171,['حكم ملك عرب سعد'],التحكيم في المملكة العربية السعودية
172,['نظر تصل بحث طبق كتب دلل'],نظرية الاتصال والبحوث التطبيقية (كتاب ودليل)
173,['جدر عمل'],الجدارة في العمل
174,['قوم نظم رعي طبة فعل كفاءةوالانصاف'],تقويم نظام الرعاية الطبية الفعالية والكفاءةوالانصاف
175,['تقن كبي حدث'],التقنيات المكتبية الحديثة
176,['حسب حكم فعل'],المحاسبة الحكومية الفعالة
177,['دلل خطط جمع نجح'],دليل التخطيط للاجتماع الناجح
178,['صنف وظف وتطبيقات'],تصنيف الوظائف وتطبيقاتها
179,['سلك هلك نظر طبق'],سلوك المستهلك ( بين النظرية والتطبيق)
180,['حسب دري جزء'], المحاسبة الإدارية (جزءان)
181,['جود دخل مشاريع تتل'],الجودة مدخل المشاريع المتتالية
182,['نظر حدثـ درة عمة'],نظرية ما بعد الحداثـة للإدارة العامة
183,['حسب وأم علم'],الحاسب وأمن المعلومات
184,['صنع قرر قدة'],صناعة القرار للقادة
185,['قدر درب طور'],قدرات التدريب و التطوير
186,['دلل شمل رجع عمل'],الدليل الشامل في مراجعة العمليات
